resultId,raceId,driverId,constructorId,number
939,61,2,3,10
940,61,26,13,19
941,62,29,6,5
942,62,12,6,6
943,62,20,4,2
944,62,14,7,8
945,62,3,4,1
946,62,21,11,11
947,62,13,9,14
948,62,23,5,20
949,62,2,3,10
950,62,22,7,7
951,62,26,13,19
952,62,34,2,17
953,62,32,13,18
954,62,10,8,22
955,62,17,11,12
956,62,7,1,3
957,62,1,2,16
958,62,30,1,4
959,62,16,3,9
960,62,25,5,21
961,62,31,9,15
962,62,35,8,23
963,63,29,6,5
964,63,3,4,1
965,63,12,6,6
966,63,22,7,7
967,63,7,1,3
968,63,20,4,2
969,63,36,1,4
970,63,1,2,16
971,63,13,9,14
972,63,25,5,21
973,63,34,2,17
974,63,31,9,15
975,63,23,5,20
976,63,2,3,10
977,63,26,13,19
978,63,35,8,23
979,63,17,11,12
980,63,16,3,9
981,63,14,7,8
982,63,21,11,11
983,63,32,13,18
984,63,10,8,22
985,64,29,6,5
986,64,12,6,6
987,64,7,1,3
988,64,17,11,12
989,64,3,4,1
990,64,20,4,2
991,64,14,7,8
992,64,31,9,15
993,64,22,7,7
994,64,23,5,20
995,64,13,9,14
996,64,25,5,21
997,64,16,3,9
998,64,10,8,22
999,64,34,2,17
1000,64,21,11,11
1001,64,1,2,16
1002,64,36,1,4
1003,64,28,8,23
1004,64,2,3,10
1005,64,26,13,19
1006,64,32,13,18
1007,65,17,11,12
1008,65,36,1,4
1009,65,1,2,16
1010,65,21,11,11
1011,65,13,9,14
1012,65,22,7,7
1013,65,12,6,6
1014,65,29,6,5
1015,65,32,13,18
1016,65,26,13,19
1017,65,25,5,21
1018,65,14,7,8
1019,65,10,8,22
1020,65,3,4,1
1021,65,7,1,3
1022,65,23,5,20
1023,65,2,3,10
1024,65,20,4,2
1025,65,31,9,15
1026,65,16,3,9
1027,65,28,8,23
1028,65,8,2,17
1029,66,12,6,6
1030,66,3,4,1
1031,66,29,6,5
1032,66,17,11,12
1033,66,36,1,4
1034,66,20,4,2
1035,66,22,7,7
1036,66,21,11,11
1037,66,14,7,8
1038,66,16,3,9
1039,66,31,9,15
1040,66,8,2,17
1041,66,25,5,21
1042,66,1,2,16
1043,66,13,9,14
1044,66,26,13,19
1045,66,10,8,22
1046,66,2,3,10
1047,66,28,8,23
